Data,Odometro,Tipo Intervento,Litri,spesa
01/02/2026,218866.0,Rifornimento,46.88,75.9
08/01/2026,218192.0,Rifornimento,35.0,55.27
28/12/2025,217667.0,Rifornimento,51.61,85.62
16/12/2025,216841.0,Rifornimento,51.82,85.97
16/11/2025,216102.0,Rifornimento,50.76,84.21
15/10/2025,215431.0,Rifornimento,52.12,89.95
13/09/2025,214717.0,Rifornimento,49.97,82.4
17/08/2025,213999.0,Rifornimento,51.2,84.94
20/07/2025,213320.0,Rifornimento,18.53,31.0
13/07/2025,213044.0,Rifornimento,36.63,61.5
20/06/2025,212550.0,Rifornimento,53.57,89.0
18/05/2025,211772.0,Rifornimento,53.85,53.0
05/04/2025,211029.0,Rifornimento,51.59,88.0
21/02/2025,210000.0,Rifornimento,51.18,90.54
21/01/2025,209630.0,Rifornimento,51.54,91.0
24/12/2024,208981.0,Rifornimento,51.65,93.0
28/11/2024,208290.0,Rifornimento,50.33,89.0
17/10/2024,206890.0,Rifornimento,52.46,90.0
04/10/2024,206091.0,Rifornimento,50.74,87.0
12/09/2024,205367.0,Rifornimento,52.84,93.0
20/08/2024,204618.0,Rifornimento,52.91,95.0
30/07/2024,203866.0,Rifornimento,54.49,101.0
13/07/2024,203123.0,Rifornimento,52.8,98.68
22/06/2024,202420.0,Rifornimento,45.28,84.0
08/06/2024,201842.0,Rifornimento,53.39,96.0
31/05/2024,201129.0,Rifornimento,52.9,99.4
09/05/2024,200418.0,Rifornimento,53.86,103.0
15/04/2024,199670.0,Rifornimento,50.5,97.4
01/04/2024,198857.0,Rifornimento,45.52,86.0
09/03/2024,198180.0,Rifornimento,50.31,94.03
10/02/2024,197456.0,Rifornimento,53.11,98.0
12/01/2024,196671.0,Rifornimento,43.66,77.0
12/12/2023,196024.0,Rifornimento,51.24,90.0
19/11/2023,195242.0,Rifornimento,50.08,89.0
03/11/2023,194464.0,Rifornimento,51.81,94.0
08/10/2023,193699.0,Rifornimento,48.75,92.0
22/09/2023,192954.0,Rifornimento,50.3,98.0
08/09/2023,192241.0,Rifornimento,51.61,99.0
24/08/2023,191519.0,Rifornimento,51.58,100.0
09/08/2023,190778.0,Rifornimento,52.66,100.0
22/07/2023,189979.0,Rifornimento,53.3,102.29
07/07/2023,189253.0,Rifornimento,52.2,93.91
23/06/2023,188483.0,Rifornimento,54.77,99.0
11/06/2023,187659.0,Rifornimento,53.48,96.0
23/05/2023,186890.0,Rifornimento,52.36,92.0
03/05/2023,186106.0,Rifornimento,55.12,103.0
23/04/2023,185217.0,Rifornimento,41.88,77.0
07/04/2023,184528.0,Rifornimento,42.41,80.0
28/03/2023,183812.0,Rifornimento,53.05,100.0
14/03/2023,182947.0,Rifornimento,48.3,98.0
01/03/2023,182082.0,Rifornimento,52.2,93.0
15/02/2023,181218.0,Rifornimento,40.78,73.0
29/01/2023,180581.0,Rifornimento,28.21,51.0
24/01/2023,180095.0,Rifornimento,51.01,91.77
31/12/2022,179285.0,Rifornimento,36.84,36.0
16/12/2022,178755.0,Rifornimento,41.35,64.0
08/12/2022,178103.0,Rifornimento,32.25,56.0
28/11/2022,177568.0,Rifornimento,51.01,80.0
18/11/2022,176760.0,Rifornimento,47.7,78.0
10/30/2022,176110.0,Rifornimento,50.79,81.0
21/10/2022,175395.0,Rifornimento,48.95,78.0
29/09/2022,174633.0,Rifornimento,53.58,81.0
12/09/2022,173908.0,Rifornimento,46.89,73.0
28/08/2022,173262.0,Rifornimento,43.12,
29/07/2022,172604.0,Rifornimento,51.93,90.0
13/07/2022,171893.0,Rifornimento,53.67,102.0
15/06/2022,171123.0,Rifornimento,44.86,89.0
03/06/2022,170464.0,Rifornimento,47.21,90.0
13/05/2022,169230.0,Rifornimento,35.68,63.0
01/05/2022,168666.0,Rifornimento,26.04,45.0
25/04/2022,168290.0,Rifornimento,50.65,86.0
10/04/2022,167455.0,Rifornimento,11.61,20.0
07/04/2022,167454.0,Rifornimento,43.34,73.0
25/03/2022,166771.0,Rifornimento,41.88,74.0
14/03/2022,166172.0,Rifornimento,15.09,31.0
07/03/2022,165915.0,Rifornimento,31.88,60.0
15/02/2022,165430.0,Rifornimento,5.69,10.0
30/01/2022,164707.0,Rifornimento,49.11,83.0
21/12/2021,163940.0,Rifornimento,48.86,80.0
06/12/2021,163198.0,Rifornimento,36.12,59.0
13/11/2021,162692.0,Rifornimento,52.26,87.0
13/10/2021,161897.0,Rifornimento,52.0,86.0
07/09/2021,161122.0,Rifornimento,53.69,90.15
27/08/2021,160286.0,Rifornimento,53.36,84.79
13/08/2021,159475.0,Rifornimento,55.07,88.06
30/07/2021,158365.0,Rifornimento,51.13,81.25
08/07/2021,157603.0,Rifornimento,52.66,83.68
11/06/2021,156814.0,Rifornimento,53.11,81.74
28/04/2021,155679.0,Rifornimento,55.06,82.53
11/12/2020,153157.0,Rifornimento,53.3,70.3
07/08/2020,147388.0,Rifornimento,51.04,66.35
06/03/2020,145338.0,Rifornimento,52.46,68.67
13/02/2020,144599.0,Rifornimento,52.59,77.25
21/01/2020,143887.0,Rifornimento,52.33,81.9
06/01/2018,118916.0,Rifornimento,52.27,77.1
